Date,Open,High,Low,Close,Volume,Symbol
22/12/2015,0.6425052568338842,0.6407385524372231,0.6480158491925317,0.6437834622248659,0.04400459485729434,ENGRO
23/12/2015,0.6481826374286573,0.6360413589364846,0.639130695803566,0.632153480071386,0.015811149828461223,ENGRO
28/12/2015,0.6350255331931511,0.6317577548005909,0.6390406435732725,0.6326591314693635,0.03167608561187287,ENGRO
29/12/2015,0.6342745569240013,0.6469719350073856,0.6396409917752296,0.6477989292088042,0.04525511830989163,ENGRO
30/12/2015,0.6514869330129169,0.6440177252584934,0.6502971723599689,0.6452409280190361,0.02247292453446335,ENGRO
31/12/2015,0.6545208771402825,0.6410339734121123,0.6465750135078345,0.6437537180249849,0.008390608972265658,ENGRO
01/01/2016,0.6461399819765695,0.6553618906942392,0.6450741430029417,0.6599940511600237,0.026395457391919046,ENGRO
04/01/2016,0.6625112646440372,0.6497784342688331,0.6603830221528487,0.6537775133848898,0.009053328774333343,ENGRO
05/01/2016,0.6494442775608291,0.6498670605613,0.6330371615537012,0.6521713265913147,0.033785263416714374,ENGRO
06/01/2016,0.6534995494142385,0.6521418020679469,0.6559704628684637,0.65029744199881,0.021833255855945845,ENGRO
07/01/2016,0.6482126764794233,0.6381093057607091,0.6456444737948009,0.638637715645449,0.038495376328801234,ENGRO
08/01/2016,0.6438570141183539,0.6376661742983754,0.6396409917752296,0.6392028554431886,0.03985347169129936,ENGRO
09/01/2016,0.6438570141183539,0.6376661742983754,0.6396409917752296,0.6392028554431886,0.03985347169129936,ENGRO
10/01/2016,0.6438570141183539,0.6376661742983754,0.6396409917752296,0.6392028554431886,0.03985347169129936,ENGRO
11/01/2016,0.6418443977170322,0.634741506646972,0.6354385543615297,0.628227245687091,0.02974555401454526,ENGRO
12/01/2016,0.6312706518474017,0.6283604135893649,0.6273638710452063,0.6332837596668649,0.0462232654989992,ENGRO
13/01/2016,0.6462901772303996,0.6366322008862629,0.6405415140781654,0.6348602022605591,0.019777864006054763,ENGRO
14/01/2016,0.6275157705016522,0.6197932053175776,0.6210301975145585,0.6224568709101724,0.024733855569343544,ENGRO
15/01/2016,0.6269149894863323,0.6203840472673561,0.6105241039803087,0.6118381915526472,0.025258268630110145,ENGRO
18/01/2016,0.6037849203965155,0.6010339734121123,0.5820075643873447,0.6040154669839379,0.0420318028667914,ENGRO
19/01/2016,0.6091919495343947,0.6085672082717873,0.6078225370715016,0.6094289113622843,0.03582528785090534,ENGRO
20/01/2016,0.6035145689396215,0.5935007385524372,0.600378219367233,0.5959845330160617,0.019822045326192608,ENGRO
21/01/2016,0.6042054671072395,0.5937961595273265,0.5883112205078946,0.584711481261154,0.027386655704576802,ENGRO
22/01/2016,0.5944728146590569,0.5846085672082718,0.5793059974785376,0.5773349196906602,0.041776319580776905,ENGRO
25/01/2016,0.5848603184139382,0.5804726735598228,0.5820075643873447,0.5802201070791194,0.028658309353761752,ENGRO
26/01/2016,0.5812556323220187,0.5689807976366323,0.5737527766104341,0.575847709696609,0.025773077056064176,ENGRO
27/01/2016,0.5824872334034245,0.5803545051698671,0.576904604670709,0.5729922665080308,0.029240350223403808,ENGRO
28/01/2016,0.5772303995193752,0.5877104874446086,0.5778051269736447,0.5953896490184413,0.05491161815045469,ENGRO
29/01/2016,0.600480624812256,0.601181683899557,0.6000180104460587,0.6030339083878642,0.04050466593159195,ENGRO
01/02/2016,0.6051667167317514,0.6200590841949779,0.6016689680014409,0.6268887566924449,0.04147665497462456,ENGRO
02/02/2016,0.6305196755782518,0.6233382570162482,0.6306657861559705,0.6265615704937536,0.02548109615776189,ENGRO
03/02/2016,0.6275157705016522,0.6171344165435746,0.6220808068679835,0.6170731707317073,0.026852638008997624,ENGRO
04/02/2016,0.6222589366176029,0.6225997045790251,0.6277841147865763,0.63081499107674,0.03208524305488857,ENGRO
08/02/2016,0.6335235806548514,0.6307237813884786,0.6360389025634868,0.6311124330755501,0.027586432108678366,ENGRO
09/02/2016,0.6320216281165516,0.6218611521418022,0.631836465149787,0.6269779892920879,0.0184408988401443,ENGRO
10/02/2016,0.6275157705016522,0.6270310192023634,0.6321066218406676,0.6328375966686496,0.034025379287028756,ENGRO
